mbid,day,mentions
4a663538-08ef-4231-ab5e-11187a33cda2,2015-04-13,2.0
4a663538-08ef-4231-ab5e-11187a33cda2,2015-04-15,4.0
4a663538-08ef-4231-ab5e-11187a33cda2,2015-04-17,2.0
4a663538-08ef-4231-ab5e-11187a33cda2,2015-04-14,2.0
696349fa-a7ae-4d67-9b35-b59613f6b050,2015-04-08,1.0
696349fa-a7ae-4d67-9b35-b59613f6b050,2015-04-10,2.0
696349fa-a7ae-4d67-9b35-b59613f6b050,2015-04-13,1.0
696349fa-a7ae-4d67-9b35-b59613f6b050,2015-04-14,1.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-08,2.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-13,2.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-14,2.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-16,1.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-17,1.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-12,5.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-07,1.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-15,5.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-09,1.0
2b8d2b63-6d69-4cdc-aae4-ce8cc5fd76f5,2015-04-11,1.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-08,4.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-09,2.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-10,3.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-11,1.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-14,3.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-13,3.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-12,2.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-15,3.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-16,3.0
245a4ee3-ab5e-4b62-bf3c-5ca78a370210,2015-04-17,4.0
b68814f0-6a47-4475-a728-b031434fa357,2015-04-14,1.0
a7cd3f1f-8165-424b-ac62-62965c2004ce,2015-04-14,1.0
a7cd3f1f-8165-424b-ac62-62965c2004ce,2015-04-08,2.0
70cb14ff-46e4-4365-a246-fec53a2e732e,2015-04-17,1.0
70cb14ff-46e4-4365-a246-fec53a2e732e,2015-04-11,1.0
70cb14ff-46e4-4365-a246-fec53a2e732e,2015-04-14,1.0
16a2df3e-1fa5-4ef0-88dd-8c89226189ec,2015-04-14,1.0
a36ccec8-2740-408e-ad91-6c366997cf71,2015-04-17,1.0
a36ccec8-2740-408e-ad91-6c366997cf71,2015-04-13,4.0
a36ccec8-2740-408e-ad91-6c366997cf71,2015-04-15,3.0
a36ccec8-2740-408e-ad91-6c366997cf71,2015-04-10,2.0
a36ccec8-2740-408e-ad91-6c366997cf71,2015-04-14,1.0
a36ccec8-2740-408e-ad91-6c366997cf71,2015-04-16,2.0
a36ccec8-2740-408e-ad91-6c366997cf71,2015-04-09,2.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-07,3.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-09,8.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-15,5.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-08,10.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-14,3.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-10,5.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-12,4.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-13,1.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-11,8.0
06da9247-fed8-46e7-b1e1-d893b9c58a71,2015-04-16,4.0
da03070e-fb17-4b4f-a792-e7db158897ae,2015-04-08,1.0
da03070e-fb17-4b4f-a792-e7db158897ae,2015-04-11,2.0
da03070e-fb17-4b4f-a792-e7db158897ae,2015-04-16,2.0
da03070e-fb17-4b4f-a792-e7db158897ae,2015-04-12,2.0
da03070e-fb17-4b4f-a792-e7db158897ae,2015-04-15,2.0
da03070e-fb17-4b4f-a792-e7db158897ae,2015-04-14,1.0
65696dd2-1b9a-4eb4-b258-1079c47d3ce6,2015-04-14,1.0
e1f6c475-aa88-4fa8-95cd-fcb808160f41,2015-04-14,1.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-10,1.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-08,2.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-12,1.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-13,1.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-14,2.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-11,1.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-16,6.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-17,8.0
b0069a45-df23-4a20-883c-d032985747f3,2015-04-15,7.0
392ba41f-67d0-4cd9-9525-be9c3408b1b4,2015-04-14,1.0
5095fa3b-89a1-4968-925f-d4f01612d122,2015-04-14,1.0
5095fa3b-89a1-4968-925f-d4f01612d122,2015-04-09,1.0
5095fa3b-89a1-4968-925f-d4f01612d122,2015-04-17,1.0
5095fa3b-89a1-4968-925f-d4f01612d122,2015-04-12,1.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-07,4.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-09,10.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-08,13.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-10,5.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-12,11.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-11,9.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-13,18.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-15,8.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-14,10.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-16,25.0
700acfd8-4fe0-464d-862c-29344af7769f,2015-04-17,18.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-09,3.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-11,1.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-14,3.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-16,12.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-10,1.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-13,2.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-17,14.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-12,1.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-08,3.0
0636dd65-0859-46ef-96ba-7900d3f727b5,2015-04-15,2.0
ecf228d7-39cb-414b-8ee8-20ff5d2a97aa,2015-04-08,1.0
ecf228d7-39cb-414b-8ee8-20ff5d2a97aa,2015-04-13,1.0
ecf228d7-39cb-414b-8ee8-20ff5d2a97aa,2015-04-09,1.0
ecf228d7-39cb-414b-8ee8-20ff5d2a97aa,2015-04-16,1.0
ecf228d7-39cb-414b-8ee8-20ff5d2a97aa,2015-04-14,1.0
ecf228d7-39cb-414b-8ee8-20ff5d2a97aa,2015-04-15,1.0
bd265574-4d4e-4254-9612-9666df605782,2015-04-13,15.0
bd265574-4d4e-4254-9612-9666df605782,2015-04-16,2.0
bd265574-4d4e-4254-9612-9666df605782,2015-04-15,2.0
bd265574-4d4e-4254-9612-9666df605782,2015-04-14,6.0
492296b5-0fac-4a5b-b4c5-69a64cd1001f,2015-04-14,1.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-07,1.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-08,6.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-09,4.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-10,5.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-13,4.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-11,2.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-12,3.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-15,4.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-14,6.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-17,3.0
002b1b32-7643-4080-81ff-237f4d133c32,2015-04-16,5.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-08,7.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-11,2.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-09,5.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-10,3.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-14,6.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-13,2.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-12,4.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-16,5.0
311eff38-fd19-49ef-95bb-13db79afef85,2015-04-15,7.0
